pop_size,mutation_rate,sa_iterations,sa_cooling,time_sec,hard_score,soft_score
20,0.3,500,0.95,536.79,0,22960.0
20,0.3,500,0.98,726.71,0,12992.5
20,0.3,1500,0.95,2020.61,0,11335.25
20,0.3,1500,0.98,2038.72,0,10740.5
20,0.6,500,0.95,670.99,0,38468.5
20,0.6,500,0.98,678.1,0,33183.5
20,0.6,1500,0.95,2041.81,0,15752.0
20,0.6,1500,0.98,2061.4,0,11782.0
40,0.3,500,0.95,1377.64,0,29450.75
40,0.3,500,0.98,1403.41,0,24233.0
40,0.3,1500,0.95,4134.08,0,21600.0
40,0.3,1500,0.98,4167.38,0,17024.25
40,0.6,500,0.95,1403.24,0,38090.0
40,0.6,500,0.98,1467.74,0,35336.5
40,0.6,1500,0.95,4114.48,0,17585.75
40,0.6,1500,0.98,4109.77,0,28537.5
